Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,France,1335,85,87,85,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,26.82,,https://sofifa.com/team/1335/france/
,Germany,1337,84,84,85,84,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,27.0,,https://sofifa.com/team/1337/germany/
,Spain,1362,84,82,83,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,24.91,,https://sofifa.com/team/1362/spain/
,England,1318,83,85,83,81,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,25.0,,https://sofifa.com/team/1318/england/
,Belgium,1325,83,85,83,80,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,7,23,28.45,,https://sofifa.com/team/1325/belgium/
,Portugal,1354,83,85,82,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,27.45,,https://sofifa.com/team/1354/portugal/
,Argentina,1369,83,86,82,80,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,26.73,,https://sofifa.com/team/1369/argentina/
,Italy,1343,82,83,82,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,27.64,,https://sofifa.com/team/1343/italy/
,Netherlands,105035,82,81,83,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,27.45,,https://sofifa.com/team/105035/netherlands/
,Brazil,1370,80,81,80,80,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,24.73,,https://sofifa.com/team/1370/brazil/
