Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,Spain,1362,85,83,83,82,€0,€0,Fast,Little,Short,Free form,Normal,Normal,Normal,Free form,Press,Medium,Wide,Cover,20,19,30,27.18,,https://sofifa.com/team/1362/spain/
,England,1318,83,81,82,80,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,17,30,26.27,,https://sofifa.com/team/1318/england/
,Argentina,1369,83,82,79,78,€0,€0,Balanced,Little,Short,Organised,Normal,Risky,Lots,Free form,Press,Medium,Normal,Cover,20,18,30,26.73,,https://sofifa.com/team/1369/argentina/
,Brazil,1370,83,81,80,82,€0,€0,Balanced,Little,Short,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,30,25.18,,https://sofifa.com/team/1370/brazil/
,France,1335,82,80,81,81,€0,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,20,19,30,25.45,,https://sofifa.com/team/1335/france/
,Germany,1337,82,80,80,79,€0,€0,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,19,30,24.82,,https://sofifa.com/team/1337/germany/
,Italy,1343,82,81,79,79,€0,€0,Balanced,Little,Mixed,Free form,Normal,Normal,Normal,Organised,Press,Medium,Normal,Offside trap,20,19,30,25.64,,https://sofifa.com/team/1343/italy/
,Portugal,1354,81,79,78,79,€0,€0,Balanced,Little,Short,Organised,Lots,Risky,Normal,Free form,Press,Medium,Normal,Cover,20,16,30,26.0,,https://sofifa.com/team/1354/portugal/
,Netherlands,105035,81,80,80,76,€0,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,20,17,24,26.45,,https://sofifa.com/team/105035/netherlands/
,Russia,1357,79,78,76,74,€0,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Little,Organised,Press,Deep,Normal,Cover,20,12,30,27.18,,https://sofifa.com/team/1357/russia/
,Croatia,1328,78,77,75,74,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,13,30,26.36,,https://sofifa.com/team/1328/croatia/
,Türkiye,1365,78,76,76,75,€0,€0,Balanced,Little,Short,Organised,Lots,Normal,Normal,Organised,Press,Deep,Normal,Cover,20,14,30,26.91,,https://sofifa.com/team/1365/turkiye/
,Uruguay,1377,78,79,74,74,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,20,11,30,26.09,,https://sofifa.com/team/1377/uruguay/
,Belgium,1325,77,74,74,76,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,30,24.0,,https://sofifa.com/team/1325/belgium/
,Czechia,1330,77,72,71,73,€0,€0,Balanced,Little,Short,Organised,Normal,Normal,Normal,Organised,Contain,Medium,Normal,Offside trap,20,15,30,27.09,,https://sofifa.com/team/1330/czechia/
,Mexico,1386,77,75,72,74,€0,€0,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,15,30,25.82,,https://sofifa.com/team/1386/mexico/
,Cameroon,1395,77,72,73,71,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,13,30,25.82,,https://sofifa.com/team/1395/cameroon/
