Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,England,1318,85,84,83,82,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,0,19,25,25.55,,https://sofifa.com/team/1318/england/
,France,1335,85,86,82,83,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,18,23,28.55,,https://sofifa.com/team/1335/france/
,Italy,1343,85,84,84,84,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,25,27.64,,https://sofifa.com/team/1343/italy/
,Spain,1362,85,85,84,81,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,17,23,25.0,,https://sofifa.com/team/1362/spain/
,Brazil,1370,85,84,84,85,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,20,25,26.45,,https://sofifa.com/team/1370/brazil/
,Germany,1337,84,82,80,83,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,23,25.82,,https://sofifa.com/team/1337/germany/
,Argentina,1369,83,83,79,80,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,18,25,27.18,,https://sofifa.com/team/1369/argentina/
,Portugal,1354,81,78,81,80,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,15,23,26.91,,https://sofifa.com/team/1354/portugal/
,Türkiye,1365,79,80,76,74,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,12,23,25.45,,https://sofifa.com/team/1365/turkiye/
,Denmark,1331,78,77,78,75,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,13,23,27.0,,https://sofifa.com/team/1331/denmark/
