Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,Spain,1362,87,84,86,83,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,25,27.0,,https://sofifa.com/team/1362/spain/
,Germany,1337,84,82,84,80,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,19,25,24.64,,https://sofifa.com/team/1337/germany/
,England,1318,83,82,83,81,€0,€0,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,17,25,26.73,,https://sofifa.com/team/1318/england/
,France,1335,83,81,81,82,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,18,25,26.27,,https://sofifa.com/team/1335/france/
,Italy,1343,83,83,82,80,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,19,25,27.73,,https://sofifa.com/team/1343/italy/
,Brazil,1370,83,83,81,83,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,25,25.18,,https://sofifa.com/team/1370/brazil/
,Portugal,1354,82,80,80,79,€0,€0,Balanced,Little,Short,Organised,Normal,Safe,Normal,Organised,Press,Medium,Normal,Cover,20,16,25,25.91,,https://sofifa.com/team/1354/portugal/
,Netherlands,105035,82,81,81,75,€0,€0,Slow,Little,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,20,17,25,27.64,,https://sofifa.com/team/105035/netherlands/
,Argentina,1369,82,86,79,77,€0,€0,Slow,Little,Mixed,Free form,Normal,Normal,Lots,Free form,Press,Medium,Normal,Cover,20,18,25,26.64,,https://sofifa.com/team/1369/argentina/
,Belgium,1325,79,76,77,78,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,25,24.45,,https://sofifa.com/team/1325/belgium/
,Russia,1357,79,77,78,76,€0,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,20,12,25,29.0,,https://sofifa.com/team/1357/russia/
,Uruguay,1377,79,81,74,77,€0,€0,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,12,25,26.64,,https://sofifa.com/team/1377/uruguay/
,Côte d'Ivoire,111112,78,80,75,73,€0,€0,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Wide,Cover,20,11,25,28.36,,https://sofifa.com/team/111112/cote-divoire/
,Croatia,1328,78,78,78,74,€0,€0,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,13,25,27.73,,https://sofifa.com/team/1328/croatia/
,Colombia,111109,77,77,74,72,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,6,25,25.55,,https://sofifa.com/team/111109/colombia/
,Republic of Ireland,1355,77,75,74,72,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,25,28.91,,https://sofifa.com/team/1355/republic-of-ireland/
,Sweden,1363,77,75,77,73,€0,€0,Balanced,Little,Short,Organised,Normal,Safe,Lots,Organised,Press,Medium,Normal,Cover,20,11,25,28.91,,https://sofifa.com/team/1363/sweden/
,Türkiye,1365,77,74,78,73,€0,€0,Balanced,Little,Short,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,14,25,26.73,,https://sofifa.com/team/1365/turkiye/
,Denmark,1331,76,73,73,73,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,12,25,27.18,,https://sofifa.com/team/1331/denmark/
,Poland,1353,76,74,74,72,€0,€0,Balanced,Little,Mixed,Organised,Normal,Safe,Normal,Organised,Press,Medium,Normal,Cover,20,11,25,26.0,,https://sofifa.com/team/1353/poland/
,Switzerland,1364,76,71,74,74,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Little,Organised,Press,Medium,Normal,Cover,20,11,25,23.91,,https://sofifa.com/team/1364/switzerland/
,Chile,111459,76,76,74,70,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,25,26.73,,https://sofifa.com/team/111459/chile/
,Mexico,1386,76,76,73,74,€0,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,20,15,25,26.27,,https://sofifa.com/team/1386/mexico/
,Cameroon,1395,76,74,73,75,€0,€0,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,12,25,25.36,,https://sofifa.com/team/1395/cameroon/
,Greece,1338,75,73,73,75,€0,€0,Slow,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Contain,Deep,Normal,Cover,20,13,25,27.27,,https://sofifa.com/team/1338/greece/
,United States,1387,75,70,74,72,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,12,25,27.0,,https://sofifa.com/team/1387/united-states/
,Peru,111108,74,69,71,66,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,6,25,28.0,,https://sofifa.com/team/111108/peru/
,Austria,1322,74,75,71,72,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,25,24.64,,https://sofifa.com/team/1322/austria/
,Norway,1352,74,73,73,73,€0,€0,Fast,Little,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Deep,Normal,Cover,20,9,25,27.55,,https://sofifa.com/team/1352/norway/
,Scotland,1359,74,73,73,73,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,25,26.18,,https://sofifa.com/team/1359/scotland/
,Slovenia,1361,74,72,72,68,€0,€0,Fast,Little,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Wide,Cover,20,10,25,27.73,,https://sofifa.com/team/1361/slovenia/
,Romania,1356,73,74,69,69,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,25,26.73,,https://sofifa.com/team/1356/romania/
