Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,England,1318,84,84,83,83,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,18,25,27.0,,https://sofifa.com/team/1318/england/
,France,1335,84,85,83,82,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,25,29.82,,https://sofifa.com/team/1335/france/
,Italy,1343,84,83,82,83,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,25,29.73,,https://sofifa.com/team/1343/italy/
,Spain,1362,84,83,83,80,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,17,25,24.82,,https://sofifa.com/team/1362/spain/
,Brazil,1370,84,84,83,83,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,20,25,26.91,,https://sofifa.com/team/1370/brazil/
,Argentina,1369,83,84,83,81,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,18,25,26.27,,https://sofifa.com/team/1369/argentina/
,Germany,1337,82,82,81,82,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,25,27.09,,https://sofifa.com/team/1337/germany/
,Portugal,1354,82,78,83,78,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,16,25,26.91,,https://sofifa.com/team/1354/portugal/
,Netherlands,105035,81,82,80,77,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,15,25,25.09,,https://sofifa.com/team/105035/netherlands/
,Czechia,1330,78,78,76,77,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,15,25,28.09,,https://sofifa.com/team/1330/czechia/
,Mexico,1386,78,77,75,75,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,15,25,25.18,,https://sofifa.com/team/1386/mexico/
,Denmark,1331,77,75,75,76,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,13,25,28.0,,https://sofifa.com/team/1331/denmark/
,Greece,1338,77,77,77,77,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,13,23,29.18,,https://sofifa.com/team/1338/greece/
,Türkiye,1365,77,79,77,74,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,12,25,27.27,,https://sofifa.com/team/1365/turkiye/
,Nigeria,1393,77,78,75,73,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,9,25,23.91,,https://sofifa.com/team/1393/nigeria/
,Croatia,1328,76,81,74,73,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,0,13,25,26.91,,https://sofifa.com/team/1328/croatia/
,Russia,1357,76,73,73,75,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,11,25,25.0,,https://sofifa.com/team/1357/russia/
,Sweden,1363,76,79,74,75,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,11,25,27.91,,https://sofifa.com/team/1363/sweden/
,Norway,1352,75,76,75,73,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,10,23,26.55,,https://sofifa.com/team/1352/norway/
,Republic of Ireland,1355,75,76,75,75,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,10,23,27.0,,https://sofifa.com/team/1355/republic-of-ireland/
,Scotland,1359,75,76,79,73,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,11,25,27.09,,https://sofifa.com/team/1359/scotland/
