Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,VfL Wolfsburg  Bundesliga,175,76,76,77,76,€0,€349.1M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,6,5,29,23.73,22.93,,https://sofifa.com/team/175/vfl-wolfsburg/,Germany
,Valencia CF  La Liga,461,76,78,75,76,€0,€530M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,7,6,33,25.0,23.18,,https://sofifa.com/team/461/valencia-cf/,Spain
,CA Osasuna  La Liga,479,76,75,76,76,€0,€15M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,5,1,31,27.36,25.35,,https://sofifa.com/team/479/ca-osasuna/,Spain
,Rayo Vallecano  La Liga,480,76,76,76,76,€0,€10M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,3,1,29,28.73,26.66,,https://sofifa.com/team/480/rayo-vallecano/,Spain
,PSV  Eredivisie,247,76,75,77,74,€0,€285.3M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,5,30,24.73,23.33,,https://sofifa.com/team/247/psv/,Netherlands
,Leeds United  Premier League,8,75,75,76,74,€0,€763.1M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,3,2,30,27.0,23.27,,https://sofifa.com/team/8/leeds-united/,England
,Atlético Mineiro  Série A,1035,75,73,77,76,€0,€100M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,7,7,20,28.55,28.0,,https://sofifa.com/team/1035/atletico-mineiro/,Brazil
,Southampton  Premier League,17,75,76,74,75,€0,€495M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,4,3,29,23.91,23.45,,https://sofifa.com/team/17/southampton/,England
,1. FC Union Berlin  Bundesliga,1831,75,75,74,75,€0,€95.5M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,3,3,28,27.27,26.29,,https://sofifa.com/team/1831/1-fc-union-berlin/,Germany
,Torino  Serie A,54,75,77,75,74,€0,€125M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,5,4,31,24.64,23.19,,https://sofifa.com/team/54/torino/,Italy
