Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,Bolton Wanderers  Premier League,4,74,69,69,70,€15M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,14,12,31,26.36,24.58,,https://sofifa.com/team/4/bolton-wanderers/,England
,Middlesbrough  Premier League,12,74,72,72,68,€15M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,14,12,28,23.82,22.46,,https://sofifa.com/team/12/middlesbrough/,England
,Eintracht Frankfurt  Bundesliga,1824,74,70,70,68,€7.5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,12,10,30,24.82,24.5,,https://sofifa.com/team/1824/eintracht-frankfurt/,Germany
,Atalanta  Serie A,39,74,72,73,72,€6M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,12,9,24,26.64,25.92,,https://sofifa.com/team/39/atalanta/,Italy
,Torino  Serie A,54,74,72,73,67,€8M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,15,10,27,26.73,27.26,,https://sofifa.com/team/54/torino/,Italy
,UD Almería  La Liga,1861,74,73,71,67,€1.3M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,8,8,23,25.27,25.22,,https://sofifa.com/team/1861/ud-almeria/,Spain
,Beşiktaş JK  Süper Lig,327,74,76,73,74,€23M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,13,22,26.82,26.05,,https://sofifa.com/team/327/besiktas-jk/,Türkiye
,Paris Saint-Germain  Ligue 1,73,74,71,73,71,€13M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,19,15,23,27.09,25.39,,https://sofifa.com/team/73/paris-saint-germain/,France
,São Paulo  Série A,598,74,70,68,70,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,18,10,32,27.18,23.94,,https://sofifa.com/team/598/sao-paulo/,Brazil
,Club América  Liga MX,1879,74,69,69,66,€4.5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,11,30,26.09,23.4,,https://sofifa.com/team/1879/club-america/,Mexico
,Fulham FC  Premier League,144,74,70,69,68,€11M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,13,11,31,28.64,25.13,,https://sofifa.com/team/144/fulham-fc/,England
,Hertha BSC  Bundesliga,166,74,72,67,66,€10M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,13,12,32,27.27,23.75,,https://sofifa.com/team/166/hertha-bsc/,Germany
,Flamengo  Série A,1043,73,70,69,70,€2M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,10,27,26.73,24.19,,https://sofifa.com/team/1043/flamengo/,Brazil
,Catania  Serie A,110364,73,70,72,73,€4M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,24,27.27,26.33,,https://sofifa.com/team/110364/catania/,Italy
,Cagliari  Serie A,1842,73,71,65,67,€4M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,11,9,28,27.55,23.93,,https://sofifa.com/team/1842/cagliari/,Italy
,RC Recreativo de Huelva  La Liga,571,73,72,67,68,€2M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,11,8,33,25.0,24.61,,https://sofifa.com/team/571/rc-recreativo-de-huelva/,Spain
,Santos Laguna  Liga MX,110144,73,67,64,65,€2.5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,13,7,30,25.45,23.63,,https://sofifa.com/team/110144/santos-laguna/,Mexico
,Lille OSC  Ligue 1,65,73,68,63,63,€13M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,12,12,30,25.09,22.87,,https://sofifa.com/team/65/lille-osc/,France
,Stade Rennais FC  Ligue 1,74,73,67,70,64,€10M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,12,8,30,27.18,23.33,,https://sofifa.com/team/74/stade-rennais-fc/,France
,Cruz Azul  Liga MX,1878,73,65,68,70,€3M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,17,9,31,25.36,23.45,,https://sofifa.com/team/1878/cruz-azul/,Mexico
,Panathinaikos FC  Super League,1884,73,74,76,68,€10M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,14,13,27,27.09,24.74,,https://sofifa.com/team/1884/panathinaikos-fc/,Greece
,Wigan Athletic  Premier League,1917,73,71,68,66,€15M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,12,10,33,25.82,23.64,,https://sofifa.com/team/1917/wigan-athletic/,England
,Palmeiras  Série A,383,73,69,73,67,€3M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,17,8,27,24.55,22.96,,https://sofifa.com/team/383/palmeiras/,Brazil
,VfL Bochum 1848  Bundesliga,160,73,72,68,68,€3M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,28,27.09,26.36,,https://sofifa.com/team/160/vfl-bochum-1848/,Germany
,AC ChievoVerona  Serie A,192,73,70,71,71,€4M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,26,29.64,27.85,,https://sofifa.com/team/192/ac-chievoverona/,Italy
,Athletic Club  La Liga,448,73,66,67,65,€1.5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,15,13,31,26.18,24.19,,https://sofifa.com/team/448/athletic-club/,Spain
,Real Valladolid CF  La Liga,462,73,71,72,71,€1.3M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,13,7,26,27.55,26.96,,https://sofifa.com/team/462/real-valladolid-cf/,Spain
,CA Osasuna  La Liga,479,73,72,70,69,€6.5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,12,11,28,26.09,25.89,,https://sofifa.com/team/479/ca-osasuna/,Spain
,AEK Athens  Super League,278,72,67,63,70,€10M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,19,12,28,27.27,24.64,,https://sofifa.com/team/278/aek-athens/,Greece
,Borussia Mönchengladbach  Bundesliga,23,72,69,70,66,€6.5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,13,11,32,26.27,25.09,,https://sofifa.com/team/23/borussia-monchengladbach/,Germany
,1. FC Köln  Bundesliga,31,72,69,64,69,€10M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,13,11,29,26.27,25.76,,https://sofifa.com/team/31/1-fc-koln/,Germany
,Siena  Serie A,1838,72,70,67,69,€3M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,7,29,26.64,25.28,,https://sofifa.com/team/1838/siena/,Italy
,Cruzeiro  Série A,568,72,70,68,70,€1.5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,15,8,30,25.0,23.53,,https://sofifa.com/team/568/cruzeiro/,Brazil
