Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,RC Deportivo de La Coruña  La Liga,242,75,70,70,71,€750K,€0,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Wide,Cover,18,13,35,27.64,25.34,,https://sofifa.com/team/242/rc-deportivo-de-la-coruna/,Spain
,Ajax  Eredivisie,245,75,69,71,72,€23M,€0,Balanced,Little,Mixed,Free form,Normal,Risky,Lots,Organised,Press,Medium,Normal,Cover,20,15,30,22.64,23.27,,https://sofifa.com/team/245/ajax/,Netherlands
,PSV  Eredivisie,247,75,70,68,69,€6M,€0,Balanced,Little,Short,Organised,Normal,Risky,Lots,Free form,Press,Medium,Normal,Offside trap,20,14,30,25.55,22.63,,https://sofifa.com/team/247/psv/,Netherlands
,Newcastle United  Premier League,13,74,71,70,70,€15.5M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,15,12,34,26.09,23.74,,https://sofifa.com/team/13/newcastle-united/,England
,Stoke City  Premier League,1806,74,72,69,70,€8M,€0,Balanced,Little,Long,Organised,Lots,Safe,Normal,Organised,Press,Deep,Normal,Cover,11,8,31,27.0,26.03,,https://sofifa.com/team/1806/stoke-city/,England
,Corinthians  Série A,1041,74,72,72,70,€1.5M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,9,29,26.82,23.93,,https://sofifa.com/team/1041/corinthians/,Brazil
,Eintracht Frankfurt  Bundesliga,1824,74,74,70,71,€7M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,10,26,26.55,24.69,,https://sofifa.com/team/1824/eintracht-frankfurt/,Germany
,Parma  Serie A,50,74,75,69,68,€8M,€0,Balanced,Little,Short,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,11,33,27.27,25.09,,https://sofifa.com/team/50/parma/,Italy
,Udinese  Serie A,55,74,73,75,72,€6M,€0,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Offside trap,13,12,26,25.18,24.38,,https://sofifa.com/team/55/udinese/,Italy
,FC Dynamo Moscow  Premier League,312,74,70,68,68,€18M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Offside trap,17,12,30,27.27,24.2,,https://sofifa.com/team/312/fc-dynamo-moscow/,Russia
,Cruzeiro  Série A,568,74,72,74,70,€2M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,10,31,25.73,24.35,,https://sofifa.com/team/568/cruzeiro/,Brazil
,AS Monaco  Ligue 1,69,74,68,67,70,€13.2M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,16,14,34,24.73,23.56,,https://sofifa.com/team/69/as-monaco/,France
,UD Almería  La Liga,1861,74,67,69,69,€5M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Double,Medium,Wide,Cover,9,8,35,24.09,23.77,,https://sofifa.com/team/1861/ud-almeria/,Spain
,São Paulo  Série A,598,74,72,73,71,€3.5M,€0,Balanced,Little,Long,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,19,11,31,26.36,24.61,,https://sofifa.com/team/598/sao-paulo/,Brazil
