Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,England,1318,84,85,83,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,25.91,,https://sofifa.com/team/1318/england/
,France,1335,83,85,83,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,24.64,,https://sofifa.com/team/1335/france/
,Germany,1337,83,80,84,80,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,25.73,,https://sofifa.com/team/1337/germany/
,Portugal,1354,83,84,84,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,29.36,,https://sofifa.com/team/1354/portugal/
,Spain,1362,83,83,84,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,27.55,,https://sofifa.com/team/1362/spain/
,Argentina,1369,83,84,81,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,28.09,,https://sofifa.com/team/1369/argentina/
,Italy,1343,82,81,85,81,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,27.73,,https://sofifa.com/team/1343/italy/
,Netherlands,105035,82,83,81,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,27.82,,https://sofifa.com/team/105035/netherlands/
,Belgium,1325,80,81,78,78,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,27.18,,https://sofifa.com/team/1325/belgium/
,Brazil,1370,80,81,80,80,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,26.36,,https://sofifa.com/team/1370/brazil/
,Croatia,1328,79,77,82,78,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,6,23,27.64,,https://sofifa.com/team/1328/croatia/
,Denmark,1331,78,75,79,79,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,6,23,25.91,,https://sofifa.com/team/1331/denmark/
,Morocco,111111,77,77,76,78,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,3,23,26.36,,https://sofifa.com/team/111111/morocco/
,Austria,1322,77,78,78,77,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,4,23,25.82,,https://sofifa.com/team/1322/austria/
,Poland,1353,77,79,76,75,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,5,23,25.64,,https://sofifa.com/team/1353/poland/
,Mexico,1386,77,78,77,76,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,7,23,27.64,,https://sofifa.com/team/1386/mexico/
,Czechia,1330,76,77,77,75,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,5,23,27.18,,https://sofifa.com/team/1330/czechia/
,Norway,1352,76,82,78,74,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,5,23,25.45,,https://sofifa.com/team/1352/norway/
,Sweden,1363,76,78,77,75,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,5,23,25.91,,https://sofifa.com/team/1363/sweden/
