Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,Italy,1343,85,84,83,81,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,30,29.36,,https://sofifa.com/team/1343/italy/
,Spain,1362,85,82,83,81,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,18,30,26.55,,https://sofifa.com/team/1362/spain/
,England,1318,84,80,82,81,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,17,30,27.91,,https://sofifa.com/team/1318/england/
,Argentina,1369,84,81,81,80,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,18,30,25.91,,https://sofifa.com/team/1369/argentina/
,Brazil,1370,84,81,81,80,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,20,30,27.73,,https://sofifa.com/team/1370/brazil/
,France,1335,83,82,82,81,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,30,24.91,,https://sofifa.com/team/1335/france/
,Germany,1337,83,82,79,79,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,30,25.82,,https://sofifa.com/team/1337/germany/
,Portugal,1354,82,77,81,79,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,16,30,26.27,,https://sofifa.com/team/1354/portugal/
,Netherlands,105035,82,80,77,76,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,16,30,26.91,,https://sofifa.com/team/105035/netherlands/
,Croatia,1328,78,76,75,72,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,13,30,26.55,,https://sofifa.com/team/1328/croatia/
,Russia,1357,78,75,75,71,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,13,30,26.73,,https://sofifa.com/team/1357/russia/
,Türkiye,1365,78,78,76,73,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,14,30,25.64,,https://sofifa.com/team/1365/turkiye/
,Mexico,1386,78,75,77,76,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,15,30,27.0,,https://sofifa.com/team/1386/mexico/
,Czechia,1330,77,74,72,76,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,15,30,28.0,,https://sofifa.com/team/1330/czechia/
,Denmark,1331,77,73,73,72,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,12,30,27.64,,https://sofifa.com/team/1331/denmark/
,Sweden,1363,77,78,73,72,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,11,30,28.18,,https://sofifa.com/team/1363/sweden/
,Switzerland,1364,77,74,71,75,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,11,30,25.64,,https://sofifa.com/team/1364/switzerland/
,Greece,1338,76,75,76,75,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,13,30,28.73,,https://sofifa.com/team/1338/greece/
,Romania,1356,76,73,71,72,€5M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,10,30,27.55,,https://sofifa.com/team/1356/romania/
