Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,Spain,1362,84,86,84,82,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,23,26.09,,https://sofifa.com/team/1362/spain/
,Germany,1337,83,82,84,78,€0,€0,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,19,23,23.91,,https://sofifa.com/team/1337/germany/
,Brazil,1370,83,83,81,83,€0,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,23,25.91,,https://sofifa.com/team/1370/brazil/
,Argentina,1369,82,85,82,79,€0,€0,Slow,Lots,Mixed,Organised,Normal,Normal,Lots,Free form,Press,Medium,Normal,Cover,20,18,23,27.09,,https://sofifa.com/team/1369/argentina/
,Belgium,1325,81,75,81,79,€0,€0,Slow,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Press,Medium,Normal,Cover,20,10,23,23.82,,https://sofifa.com/team/1325/belgium/
,France,1335,81,82,80,80,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,18,23,25.09,,https://sofifa.com/team/1335/france/
,England,1318,80,85,79,78,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,17,23,22.91,,https://sofifa.com/team/1318/england/
,Italy,1343,80,79,78,78,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Deep,Normal,Cover,20,19,23,25.82,,https://sofifa.com/team/1343/italy/
,Portugal,1354,80,82,79,80,€0,€0,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,Medium,Normal,Cover,20,16,23,27.45,,https://sofifa.com/team/1354/portugal/
,Netherlands,105035,79,84,76,75,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,17,23,25.18,,https://sofifa.com/team/105035/netherlands/
,Türkiye,1365,78,76,79,76,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,14,23,25.27,,https://sofifa.com/team/1365/turkiye/
,Colombia,111109,77,77,78,75,€0,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,6,23,26.73,,https://sofifa.com/team/111109/colombia/
,Russia,1357,77,76,75,75,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Normal,Cover,20,12,23,27.36,,https://sofifa.com/team/1357/russia/
,Côte d'Ivoire,111112,76,77,74,74,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,27.55,,https://sofifa.com/team/111112/cote-divoire/
,Switzerland,1364,76,74,76,77,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,23.64,,https://sofifa.com/team/1364/switzerland/
