Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,FC Bayern München  Bundesliga,21,85,88,84,84,€80M,€0,Balanced,Normal,Short,Free form,Little,Safe,Little,Free form,Double,High,Wide,Cover,20,20,30,26.73,25.17,,https://sofifa.com/team/21/fc-bayern-munchen/,Germany
,FC Barcelona  La Liga,241,84,91,85,82,€100M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,33,28.36,24.79,,https://sofifa.com/team/241/fc-barcelona/,Spain
,Real Madrid  La Liga,243,84,86,86,83,€100M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,33,27.09,23.36,,https://sofifa.com/team/243/real-madrid/,Spain
,Chelsea  Premier League,5,83,81,82,82,€85M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,27.18,23.48,,https://sofifa.com/team/5/chelsea/,England
,Paris Saint-Germain  Ligue 1,73,83,84,82,82,€100M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,18,33,27.91,23.64,,https://sofifa.com/team/73/paris-saint-germain/,France
,Arsenal  Premier League,1,82,82,79,80,€70M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,19,18,33,26.73,23.45,,https://sofifa.com/team/1/arsenal/,England
,Manchester City  Premier League,10,82,84,82,81,€100M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Free form,Press,Medium,Normal,Cover,19,19,33,28.27,24.42,,https://sofifa.com/team/10/manchester-city/,England
,Juventus  Serie A,45,82,81,79,83,€60M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Free form,Press,Medium,Normal,Cover,20,19,32,29.36,25.09,,https://sofifa.com/team/45/juventus/,Italy
,Manchester United  Premier League,11,81,69,80,77,€80M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,23.64,23.45,,https://sofifa.com/team/11/manchester-united/,England
,Borussia Dortmund  Bundesliga,22,81,84,81,81,€30M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,High,Normal,Cover,19,18,33,25.55,23.33,,https://sofifa.com/team/22/borussia-dortmund/,Germany
