Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,FC Barcelona  La Liga,241,86,87,86,85,€187.9M,€3.5B,Slow,Normal,Short,Free form,Normal,Safe,Normal,Free form,Press,High,Normal,Cover,10,10,33,27.55,23.64,,https://sofifa.com/team/241/fc-barcelona/,Spain
,Real Madrid  La Liga,243,86,83,88,86,€188.5M,€3.5B,Slow,Normal,Mixed,Organised,Lots,Normal,Normal,Free form,Press,High,Normal,Cover,10,10,33,26.73,23.67,,https://sofifa.com/team/243/real-madrid/,Spain
,Manchester City  Premier League,10,85,86,88,82,€170M,€2.8B,Slow,Normal,Short,Free form,Normal,Normal,Normal,Free form,Double,Medium,Normal,Cover,10,9,33,26.27,23.88,,https://sofifa.com/team/10/manchester-city/,England
,FC Bayern München  Bundesliga,21,85,85,85,85,€100M,€2.8B,Slow,Normal,Short,Organised,Normal,Safe,Normal,Free form,Double,Medium,Normal,Cover,10,9,29,26.27,23.76,,https://sofifa.com/team/21/fc-bayern-munchen/,Germany
,Juventus  Serie A,45,85,89,84,85,€90M,€1.6B,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Double,Medium,Normal,Cover,10,10,24,28.64,26.75,,https://sofifa.com/team/45/juventus/,Italy
,Paris Saint-Germain  Ligue 1,73,84,88,85,81,€190.9M,€2.6B,Balanced,Normal,Short,Organised,Normal,Normal,Normal,Free form,Double,Medium,Normal,Cover,10,10,31,26.0,23.0,,https://sofifa.com/team/73/paris-saint-germain/,France
,Atlético Madrid  La Liga,240,84,85,83,84,€68.6M,€1.2B,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,9,33,25.73,23.39,,https://sofifa.com/team/240/atletico-madrid/,Spain
,Chelsea  Premier League,5,83,85,83,82,€95M,€2.5B,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,High,Normal,Cover,9,9,33,26.64,24.12,,https://sofifa.com/team/5/chelsea/,England
,Liverpool  Premier League,9,83,86,82,82,€90M,€2.4B,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Free form,Double,Medium,Wide,Cover,9,8,33,25.18,23.09,,https://sofifa.com/team/9/liverpool/,England
,Tottenham Hotspur  Premier League,18,83,86,82,83,€85M,€2.4B,Balanced,Normal,Mixed,Organised,Normal,Safe,Little,Free form,Double,Medium,Narrow,Cover,9,8,33,26.55,23.91,,https://sofifa.com/team/18/tottenham-hotspur/,England
