Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,FC Bayern München  Bundesliga,21,85,87,85,82,€55M,€0,Balanced,Little,Short,Free form,Little,Normal,Little,Free form,Press,High,Normal,Cover,20,20,31,26.45,24.84,,https://sofifa.com/team/21/fc-bayern-munchen/,Germany
,FC Barcelona  La Liga,241,84,88,85,81,€80M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,24,26.45,26.04,,https://sofifa.com/team/241/fc-barcelona/,Spain
,Real Madrid  La Liga,243,84,86,83,81,€95M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,33,26.64,23.55,,https://sofifa.com/team/243/real-madrid/,Spain
,Chelsea  Premier League,5,83,82,82,81,€55M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,25.82,22.48,,https://sofifa.com/team/5/chelsea/,England
,Manchester City  Premier League,10,82,83,82,81,€80M,€0,Balanced,Normal,Short,Free form,Normal,Normal,Little,Free form,Press,Medium,Normal,Cover,18,19,33,28.55,24.7,,https://sofifa.com/team/10/manchester-city/,England
,Manchester United  Premier League,11,81,85,80,75,€39M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,31,25.55,23.84,,https://sofifa.com/team/11/manchester-united/,England
,Borussia Dortmund  Bundesliga,22,81,79,81,81,€30M,€0,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Free form,Double,Medium,Normal,Cover,19,18,33,26.09,23.61,,https://sofifa.com/team/22/borussia-dortmund/,Germany
,Paris Saint-Germain  Ligue 1,73,81,82,81,80,€120M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,19,18,27,26.82,24.0,,https://sofifa.com/team/73/paris-saint-germain/,France
,Arsenal  Premier League,1,80,80,80,77,€35M,€0,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,Medium,Normal,Cover,18,18,33,25.36,23.3,,https://sofifa.com/team/1/arsenal/,England
,Juventus  Serie A,45,80,78,78,80,€35M,€0,Balanced,Normal,Short,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,19,30,27.55,25.87,,https://sofifa.com/team/45/juventus/,Italy
,Atlético Madrid  La Liga,240,80,81,78,79,€35M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,19,33,25.73,24.33,,https://sofifa.com/team/240/atletico-madrid/,Spain
,Liverpool  Premier League,9,79,79,78,75,€40M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,18,33,23.0,22.91,,https://sofifa.com/team/9/liverpool/,England
,Roma  Serie A,52,79,78,81,77,€30M,€0,Fast,Little,Mixed,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,17,17,32,27.91,25.91,,https://sofifa.com/team/52/roma/,Italy
,Valencia CF  La Liga,461,79,81,79,77,€20M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,16,29,25.0,22.66,,https://sofifa.com/team/461/valencia-cf/,Spain
,Everton  Premier League,7,78,78,78,78,€14M,€0,Balanced,Normal,Mixed,Organised,Little,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,16,33,26.36,24.97,,https://sofifa.com/team/7/everton/,England
,Tottenham Hotspur  Premier League,18,78,78,77,77,€26M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,17,33,23.45,22.55,,https://sofifa.com/team/18/tottenham-hotspur/,England
,FC Schalke 04  Bundesliga,34,78,83,77,76,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,16,33,24.27,22.79,,https://sofifa.com/team/34/fc-schalke-04/,Germany
,Napoli  Serie A,48,78,84,78,76,€26M,€0,Balanced,Lots,Mixed,Organised,Normal,Risky,Lots,Organised,Press,Medium,Normal,Offside trap,16,17,32,26.55,25.03,,https://sofifa.com/team/48/napoli/,Italy
,VfL Wolfsburg  Bundesliga,175,78,77,78,76,€25M,€0,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,16,16,27,25.55,24.59,,https://sofifa.com/team/175/vfl-wolfsburg/,Germany
,Sevilla FC  La Liga,481,78,79,76,77,€18M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,17,33,25.36,23.97,,https://sofifa.com/team/481/sevilla-fc/,Spain
,Borussia Mönchengladbach  Bundesliga,23,77,76,74,76,€10M,€0,Slow,Normal,Short,Organised,Little,Normal,Normal,Free form,Press,Medium,Normal,Cover,15,14,28,24.73,24.25,,https://sofifa.com/team/23/borussia-monchengladbach/,Germany
,Fiorentina  Serie A,110374,77,77,77,76,€16M,€0,Balanced,Normal,Short,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,16,16,31,27.91,26.1,,https://sofifa.com/team/110374/fiorentina/,Italy
