Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,FC Barcelona  La Liga,241,84,73,77,74,€85M,€0,Balanced,Little,Short,Free form,Normal,Normal,Lots,Free form,Contain,High,Wide,Offside trap,20,20,35,26.09,23.46,,https://sofifa.com/team/241/fc-barcelona/,Spain
,Chelsea  Premier League,5,83,80,75,76,€90M,€0,Fast,Little,Mixed,Free form,Lots,Normal,Lots,Free form,Press,Deep,Normal,Cover,19,19,37,28.91,24.19,,https://sofifa.com/team/5/chelsea/,England
,Inter  Serie A,44,83,77,72,80,€80M,€0,Balanced,Little,Mixed,Free form,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,19,32,28.55,25.09,,https://sofifa.com/team/44/inter/,Italy
,Real Madrid  La Liga,243,83,71,80,72,€100M,€0,Balanced,Little,Short,Free form,Normal,Risky,Lots,Free form,Press,Medium,Normal,Offside trap,20,20,35,24.82,23.49,,https://sofifa.com/team/243/real-madrid/,Spain
,Liverpool  Premier League,9,82,74,76,75,€60M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,19,18,40,25.73,22.53,,https://sofifa.com/team/9/liverpool/,England
,Manchester United  Premier League,11,82,78,76,76,€90M,€0,Fast,Little,Mixed,Organised,Lots,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,19,40,27.36,23.75,,https://sofifa.com/team/11/manchester-united/,England
,Juventus  Serie A,45,82,78,73,76,€60M,€0,Balanced,Little,Mixed,Free form,Normal,Normal,Lots,Free form,Press,Medium,Wide,Offside trap,20,19,34,27.45,25.65,,https://sofifa.com/team/45/juventus/,Italy
,Arsenal  Premier League,1,81,75,73,74,€45M,€0,Balanced,Little,Short,Free form,Normal,Safe,Normal,Free form,Press,Deep,Normal,Cover,19,18,40,24.73,21.88,,https://sofifa.com/team/1/arsenal/,England
,Manchester City  Premier League,10,81,73,76,75,€100M,€0,Fast,Little,Mixed,Organised,Lots,Normal,Lots,Organised,Press,Medium,Normal,Cover,16,14,37,26.82,23.41,,https://sofifa.com/team/10/manchester-city/,England
,FC Bayern München  Bundesliga,21,81,81,77,75,€80M,€0,Balanced,Little,Mixed,Free form,Lots,Normal,Lots,Free form,Press,High,Normal,Cover,20,18,23,27.09,25.3,,https://sofifa.com/team/21/fc-bayern-munchen/,Germany
