Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,FC Barcelona  La Liga,241,85,86,84,84,€77M,€0,Balanced,Little,Short,Free form,Little,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,24,26.45,26.04,,https://sofifa.com/team/241/fc-barcelona/,Spain
,Real Madrid  La Liga,243,84,84,85,82,€98.4M,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Lots,Free form,Press,Medium,Normal,Cover,20,20,26,25.64,25.46,,https://sofifa.com/team/243/real-madrid/,Spain
,FC Bayern München  Bundesliga,21,83,83,84,82,€54M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,19,28,25.45,24.54,,https://sofifa.com/team/21/fc-bayern-munchen/,Germany
,Manchester City  Premier League,10,82,85,83,80,€105M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,18,19,33,25.82,24.0,,https://sofifa.com/team/10/manchester-city/,England
,Manchester United  Premier League,11,82,86,81,82,€30M,€0,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,26.45,23.79,,https://sofifa.com/team/11/manchester-united/,England
,Juventus  Serie A,45,82,81,81,83,€30M,€0,Balanced,Little,Short,Organised,Normal,Normal,Lots,Free form,Double,Medium,Normal,Cover,20,19,27,28.09,26.85,,https://sofifa.com/team/45/juventus/,Italy
,Chelsea  Premier League,5,81,82,80,81,€50M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,26.45,24.3,,https://sofifa.com/team/5/chelsea/,England
,Arsenal  Premier League,1,80,80,79,80,€24M,€0,Slow,Little,Short,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,18,18,33,25.73,23.27,,https://sofifa.com/team/1/arsenal/,England
,Tottenham Hotspur  Premier League,18,80,82,78,79,€22M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,17,17,33,24.73,23.33,,https://sofifa.com/team/18/tottenham-hotspur/,England
,Borussia Dortmund  Bundesliga,22,80,80,80,80,€17.5M,€0,Fast,Little,Mixed,Organised,Normal,Risky,Lots,Organised,Double,Medium,Normal,Cover,19,17,33,24.0,22.76,,https://sofifa.com/team/22/borussia-dortmund/,Germany
,Inter  Serie A,44,80,79,78,80,€35M,€0,Fast,Little,Long,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,20,20,29,26.36,27.0,,https://sofifa.com/team/44/inter/,Italy
,AC Milan  Serie A,47,80,80,80,79,€20M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,29,24.73,25.86,,https://sofifa.com/team/47/ac-milan/,Italy
,Paris Saint-Germain  Ligue 1,73,80,81,80,80,€75M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,19,17,30,27.18,25.0,,https://sofifa.com/team/73/paris-saint-germain/,France
,Atlético Madrid  La Liga,240,80,83,79,80,€27M,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,18,18,32,25.36,23.13,,https://sofifa.com/team/240/atletico-madrid/,Spain
,Liverpool  Premier League,9,79,76,80,79,€20M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,18,33,26.09,22.0,,https://sofifa.com/team/9/liverpool/,England
,Lazio  Serie A,46,79,81,79,78,€15M,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Lots,Free form,Press,Medium,Normal,Cover,16,17,25,28.27,26.64,,https://sofifa.com/team/46/lazio/,Italy
,Napoli  Serie A,48,79,81,80,78,€20M,€0,Fast,Little,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Normal,Offside trap,16,18,27,28.18,26.7,,https://sofifa.com/team/48/napoli/,Italy
,Zenit  Premier League,100769,79,79,79,78,€40M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,17,30,27.73,24.43,,https://sofifa.com/team/100769/zenit/,Russia
,Valencia CF  La Liga,461,79,80,79,78,€20M,€0,Slow,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,18,32,26.45,23.47,,https://sofifa.com/team/461/valencia-cf/,Spain
,FC Schalke 04  Bundesliga,34,78,83,78,75,€10M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,17,29,25.0,23.45,,https://sofifa.com/team/34/fc-schalke-04/,Germany
,Fiorentina  Serie A,110374,78,76,78,77,€17M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,16,16,28,25.91,25.43,,https://sofifa.com/team/110374/fiorentina/,Italy
