Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,14,349,0,0,95,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,439,0,0,68,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,19,380,0,0,40,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,503,0,0,112,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,659,0,0,119,,https://sofifa.com/league/13,England
,Championship  England,24,720,0,0,117,,https://sofifa.com/league/14,England
,Ligue 1  France,20,587,0,0,57,,https://sofifa.com/league/16,France
,Ligue 2  France,20,557,0,0,137,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,534,0,0,52,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,517,0,0,73,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,523,0,0,6,,https://sofifa.com/league/31,Italy
,Serie B  Italy,20,548,0,0,413,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,24,630,0,0,9,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,379,0,0,85,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,318,0,0,72,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,637,0,0,74,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,634,0,0,163,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,383,0,0,67,,https://sofifa.com/league/56,Sweden
,League One  England,24,646,0,0,139,,https://sofifa.com/league/60,England
,League Two  England,24,651,0,0,193,,https://sofifa.com/league/61,England
,Super League  Greece,4,110,0,0,12,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,10,235,0,0,45,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,16,424,0,0,134,,https://sofifa.com/league/66,Poland
,Premier League  Russia,3,79,0,0,13,,https://sofifa.com/league/67,Russia
,Süper Lig  Türkiye,18,484,0,0,90,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,12,317,0,0,71,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,12,336,0,0,89,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,267,0,0,82,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,18,481,0,0,119,,https://sofifa.com/league/308,Portugal
,Hrvatska nogometna liga  Croatia,1,28,0,0,6,,https://sofifa.com/league/317,Croatia
,První liga  Czechia,3,77,0,0,16,,https://sofifa.com/league/319,Czechia
,Veikkausliiga  Finland,1,23,0,0,3,,https://sofifa.com/league/322,Finland
,Liga I  Romania,14,374,0,0,59,,https://sofifa.com/league/330,Romania
,Premier League  Ukraine,2,55,0,0,6,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,16,414,0,0,260,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,20,523,0,0,351,,https://sofifa.com/league/336,Colombia
,División Profesional  Paraguay,7,208,0,0,9,,https://sofifa.com/league/337,Paraguay
,Primera División  Uruguay,6,173,0,0,10,,https://sofifa.com/league/338,Uruguay
,Liga MX  Mexico,19,513,0,0,94,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,56,0,0,5,,https://sofifa.com/league/347,South Africa
,J1 League  Japan,18,520,0,1,68,,https://sofifa.com/league/349,Japan
,Pro League  Saudi Arabia,16,445,0,0,20,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,11,263,0,0,14,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,25,707,0,0,153,,https://sofifa.com/league/353,Argentina
,Super League  China PR,16,408,0,0,97,,https://sofifa.com/league/2012,China PR
,Pro League  United Arab Emirates,1,28,0,0,2,,https://sofifa.com/league/2013,United Arab Emirates
,División de Fútbol Profesional  Bolivia,6,172,0,0,4,,https://sofifa.com/league/2017,Bolivia
,Serie A  Ecuador,8,229,0,0,11,,https://sofifa.com/league/2018,Ecuador
,Primera Division  Venezuela,6,153,0,0,2,,https://sofifa.com/league/2019,Venezuela
,Liga 1  Peru,6,162,0,0,7,,https://sofifa.com/league/2020,Peru
,3. Liga  Germany,20,538,0,0,177,,https://sofifa.com/league/2076,Germany
