Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,292,19,200,80,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,435,44,339,123,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,20,589,160,404,183,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,505,46,458,130,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,649,59,533,79,,https://sofifa.com/league/13,England
,Championship  England,24,665,54,543,85,,https://sofifa.com/league/14,England
,Ligue 1  France,20,593,54,430,67,,https://sofifa.com/league/16,France
,Ligue 2  France,20,525,43,333,154,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,536,35,495,69,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,491,30,435,145,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,599,45,461,118,,https://sofifa.com/league/31,Italy
,Serie B  Italy,22,596,67,520,205,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,18,475,104,321,58,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,434,80,251,139,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,343,39,273,88,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,645,52,531,102,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,609,64,510,202,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,392,67,324,97,,https://sofifa.com/league/56,Sweden
,League One  England,24,645,60,419,134,,https://sofifa.com/league/60,England
,League Two  England,24,634,72,444,201,,https://sofifa.com/league/61,England
,Super League  Greece,4,112,13,80,25,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,10,235,58,176,67,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,16,414,44,368,143,,https://sofifa.com/league/66,Poland
,Premier League  Russia,16,460,52,376,143,,https://sofifa.com/league/67,Russia
,Süper Lig  Türkiye,1,27,4,23,5,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,10,261,22,211,74,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,16,448,88,360,61,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,257,30,198,70,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,16,431,46,366,140,,https://sofifa.com/league/308,Portugal
,Liga MX  Mexico,18,532,69,456,154,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,60,11,43,20,,https://sofifa.com/league/347,South Africa
,A-League Men  Australia,10,220,21,166,56,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,2,60,9,49,19,,https://sofifa.com/league/353,Argentina
,Primera Nacional  Argentina,1,30,6,24,7,,https://sofifa.com/league/2002,Argentina
