Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,320,0,0,70,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,442,0,0,96,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,14,280,0,0,1,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,511,0,0,130,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,636,0,0,64,,https://sofifa.com/league/13,England
,Championship  England,24,701,0,0,69,,https://sofifa.com/league/14,England
,Ligue 1  France,18,478,0,0,40,,https://sofifa.com/league/16,France
,Ligue 2  France,20,547,0,0,159,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,531,0,0,60,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,524,0,0,67,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,556,0,0,52,,https://sofifa.com/league/31,Italy
,Serie B  Italy,20,559,0,0,142,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,29,790,0,0,35,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,408,0,0,73,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,304,0,0,47,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,629,0,0,68,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,635,0,0,176,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,412,1,0,64,,https://sofifa.com/league/56,Sweden
,League One  England,24,658,0,0,94,,https://sofifa.com/league/60,England
,League Two  England,24,648,0,0,161,,https://sofifa.com/league/61,England
,Super League  Greece,3,84,0,0,9,,https://sofifa.com/league/63,Greece
,Nemzeti Bajnokság I  Hungary,1,28,0,0,3,,https://sofifa.com/league/64,Hungary
,Premier Division  Republic of Ireland,10,258,0,0,64,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,18,479,0,0,160,,https://sofifa.com/league/66,Poland
,Süper Lig  Türkiye,20,534,0,0,157,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,12,326,0,0,74,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,12,336,0,0,42,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,12,336,0,0,79,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,18,494,0,0,161,,https://sofifa.com/league/308,Portugal
,Hrvatska nogometna liga  Croatia,2,56,0,0,7,,https://sofifa.com/league/317,Croatia
,1. Division  Cyprus,1,26,0,0,9,,https://sofifa.com/league/318,Cyprus
,První liga  Czechia,3,81,0,0,9,,https://sofifa.com/league/319,Czechia
,Veikkausliiga  Finland,1,28,0,0,5,,https://sofifa.com/league/322,Finland
,Liga I  Romania,16,413,0,0,134,,https://sofifa.com/league/330,Romania
,Premier League  Ukraine,2,56,0,0,5,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,8,207,0,0,12,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,7,189,0,0,40,,https://sofifa.com/league/336,Colombia
,División Profesional  Paraguay,8,237,0,0,29,,https://sofifa.com/league/337,Paraguay
,Primera División  Uruguay,7,194,0,0,21,,https://sofifa.com/league/338,Uruguay
,Pro League  Saudi Arabia,18,523,0,0,143,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,12,317,0,0,72,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,28,759,0,0,90,,https://sofifa.com/league/353,Argentina
,Super League  China PR,16,415,1,0,38,,https://sofifa.com/league/2012,China PR
,Pro League  United Arab Emirates,1,28,0,0,6,,https://sofifa.com/league/2013,United Arab Emirates
,División de Fútbol Profesional  Bolivia,7,190,0,0,29,,https://sofifa.com/league/2017,Bolivia
,Serie A  Ecuador,7,179,0,0,27,,https://sofifa.com/league/2018,Ecuador
,Primera Division  Venezuela,6,177,0,0,17,,https://sofifa.com/league/2019,Venezuela
,Liga 1  Peru,6,161,0,0,23,,https://sofifa.com/league/2020,Peru
,3. Liga  Germany,20,550,0,0,190,,https://sofifa.com/league/2076,Germany
,Super League  India,12,325,0,0,62,,https://sofifa.com/league/2149,India
