Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,313,0,0,76,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,18,485,0,0,121,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,14,280,0,0,0,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,523,0,0,150,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,617,0,0,61,,https://sofifa.com/league/13,England
,Championship  England,24,707,0,0,94,,https://sofifa.com/league/14,England
,Ligue 1  France,20,557,0,0,71,,https://sofifa.com/league/16,France
,Ligue 2  France,20,552,0,1,172,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,554,0,0,61,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,520,0,0,66,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,568,0,0,41,,https://sofifa.com/league/31,Italy
,Serie B  Italy,20,545,0,0,169,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,28,808,0,0,28,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,388,0,0,53,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,312,0,0,65,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,621,0,0,79,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,631,0,0,172,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,417,0,0,55,,https://sofifa.com/league/56,Sweden
,League One  England,24,647,0,0,103,,https://sofifa.com/league/60,England
,League Two  England,24,657,0,0,172,,https://sofifa.com/league/61,England
,National League  England,1,28,0,0,4,,https://sofifa.com/league/62,England
,Super League  Greece,3,84,0,0,11,,https://sofifa.com/league/63,Greece
,Nemzeti Bajnokság I  Hungary,1,28,0,0,3,,https://sofifa.com/league/64,Hungary
,Premier Division  Republic of Ireland,10,256,0,0,35,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,18,481,0,0,153,,https://sofifa.com/league/66,Poland
,Süper Lig  Türkiye,19,497,0,0,128,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,12,326,0,0,79,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,12,336,0,0,77,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,273,0,0,64,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,18,499,0,0,149,,https://sofifa.com/league/308,Portugal
,Hrvatska nogometna liga  Croatia,2,55,0,0,12,,https://sofifa.com/league/317,Croatia
,1. Division  Cyprus,1,26,0,0,6,,https://sofifa.com/league/318,Cyprus
,První liga  Czechia,3,80,0,0,12,,https://sofifa.com/league/319,Czechia
,Veikkausliiga  Finland,1,27,0,0,1,,https://sofifa.com/league/322,Finland
,Liga I  Romania,16,439,0,0,157,,https://sofifa.com/league/330,Romania
,Premier League  Ukraine,2,56,0,0,11,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,7,180,0,0,15,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,8,220,0,0,39,,https://sofifa.com/league/336,Colombia
,División Profesional  Paraguay,7,197,0,0,30,,https://sofifa.com/league/337,Paraguay
,Primera División  Uruguay,6,172,0,0,22,,https://sofifa.com/league/338,Uruguay
,Premier Soccer League  South Africa,3,84,0,0,82,,https://sofifa.com/league/347,South Africa
,Pro League  Saudi Arabia,16,472,0,0,128,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,12,311,0,0,60,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,28,766,0,0,82,,https://sofifa.com/league/353,Argentina
,Super League  China PR,18,493,0,0,116,,https://sofifa.com/league/2012,China PR
,Pro League  United Arab Emirates,1,27,0,0,7,,https://sofifa.com/league/2013,United Arab Emirates
,División de Fútbol Profesional  Bolivia,6,148,0,0,18,,https://sofifa.com/league/2017,Bolivia
,Serie A  Ecuador,7,187,0,0,28,,https://sofifa.com/league/2018,Ecuador
,Primera Division  Venezuela,6,174,0,0,23,,https://sofifa.com/league/2019,Venezuela
,Liga 1  Peru,7,173,0,0,9,,https://sofifa.com/league/2020,Peru
,3. Liga  Germany,20,550,0,0,188,,https://sofifa.com/league/2076,Germany
,Super League  India,11,298,0,0,67,,https://sofifa.com/league/2149,India
