Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,260,7,52,79,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,18,384,20,16,103,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,21,451,17,152,185,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,406,8,18,94,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,500,30,66,46,,https://sofifa.com/league/13,England
,Championship  England,24,531,21,162,65,,https://sofifa.com/league/14,England
,Ligue 1  France,20,464,39,34,54,,https://sofifa.com/league/16,France
,Ligue 2  France,20,420,17,73,125,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,417,25,20,40,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,378,13,43,130,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,464,49,43,68,,https://sofifa.com/league/31,Italy
,Serie B  Italy,22,464,32,56,151,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,12,256,11,20,51,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,14,302,15,103,75,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,280,14,83,73,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,464,32,33,35,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,462,39,188,155,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,14,291,4,184,104,,https://sofifa.com/league/56,Sweden
,League One  England,24,500,21,75,84,,https://sofifa.com/league/60,England
,League Two  England,24,499,10,72,172,,https://sofifa.com/league/61,England
,Super League  Greece,4,92,1,48,38,,https://sofifa.com/league/63,Greece
,Ekstraklasa  Poland,16,340,1,163,118,,https://sofifa.com/league/66,Poland
,Süper Lig  Türkiye,18,387,6,9,128,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,10,214,12,76,58,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,14,294,3,196,74,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,11,236,8,74,91,,https://sofifa.com/league/189,Switzerland
,Challenge League  Switzerland,2,40,0,25,15,,https://sofifa.com/league/190,Switzerland
,Primeira Liga  Portugal,16,368,6,8,147,,https://sofifa.com/league/308,Portugal
,První liga  Czechia,1,21,1,12,3,,https://sofifa.com/league/319,Czechia
,Liga MX  Mexico,18,414,5,3,125,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,40,1,23,12,,https://sofifa.com/league/347,South Africa
,Liga Profesional de Fútbol  Argentina,2,50,5,1,13,,https://sofifa.com/league/353,Argentina
,10001  Brazil,1,21,0,1,21,,https://sofifa.com/league/10001,Brazil
