Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,301,0,14,63,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,425,0,3,107,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,16,320,212,72,0,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,501,0,13,121,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,660,0,32,76,,https://sofifa.com/league/13,England
,Championship  England,24,713,0,29,90,,https://sofifa.com/league/14,England
,Ligue 1  France,20,625,0,21,87,,https://sofifa.com/league/16,France
,Ligue 2  France,20,543,0,11,148,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,551,0,19,60,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,496,0,19,119,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,556,0,9,50,,https://sofifa.com/league/31,Italy
,Serie B  Italy,22,605,0,14,173,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,20,554,0,72,5,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,390,8,27,56,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,343,0,12,96,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,635,0,20,74,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,606,0,17,190,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,397,1,9,44,,https://sofifa.com/league/56,Sweden
,League One  England,24,661,0,24,112,,https://sofifa.com/league/60,England
,League Two  England,24,653,0,24,178,,https://sofifa.com/league/61,England
,Super League  Greece,3,80,0,0,14,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,12,295,0,16,61,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,16,423,0,5,128,,https://sofifa.com/league/66,Poland
,Premier League  Russia,16,453,0,16,139,,https://sofifa.com/league/67,Russia
,Süper Lig  Türkiye,18,493,0,13,130,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,10,267,0,11,59,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,12,335,1,21,73,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,261,0,10,72,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,18,507,0,19,156,,https://sofifa.com/league/308,Portugal
,Premier League  Ukraine,1,26,0,0,2,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,16,443,0,10,116,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,20,548,8,22,70,,https://sofifa.com/league/336,Colombia
,Liga MX  Mexico,18,521,0,11,130,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,56,0,0,18,,https://sofifa.com/league/347,South Africa
,Pro League  Saudi Arabia,14,415,0,17,125,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,10,247,0,6,59,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,30,882,0,22,209,,https://sofifa.com/league/353,Argentina
