Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,321,0,0,87,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,18,490,0,2,90,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,19,380,0,0,82,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,526,0,1,168,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,655,0,0,93,,https://sofifa.com/league/13,England
,Championship  England,24,717,0,2,93,,https://sofifa.com/league/14,England
,Ligue 1  France,20,573,0,1,80,,https://sofifa.com/league/16,France
,Ligue 2  France,20,558,0,0,138,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,550,0,1,58,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,532,0,0,93,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,551,0,0,35,,https://sofifa.com/league/31,Italy
,Serie B  Italy,5,135,0,0,27,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,27,753,0,0,20,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,387,0,0,65,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,303,0,0,57,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,638,0,0,59,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,647,0,0,190,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,377,0,0,87,,https://sofifa.com/league/56,Sweden
,League One  England,24,641,0,0,87,,https://sofifa.com/league/60,England
,League Two  England,24,644,0,1,188,,https://sofifa.com/league/61,England
,National League  England,1,28,0,0,8,,https://sofifa.com/league/62,England
,Super League  Greece,4,112,0,0,38,,https://sofifa.com/league/63,Greece
,Nemzeti Bajnokság I  Hungary,1,28,0,0,2,,https://sofifa.com/league/64,Hungary
,Premier Division  Republic of Ireland,10,231,0,0,53,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,18,489,0,0,155,,https://sofifa.com/league/66,Poland
,Süper Lig  Türkiye,20,507,0,0,130,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,12,326,0,2,80,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,12,336,0,0,52,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,276,0,0,68,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,18,503,0,1,134,,https://sofifa.com/league/308,Portugal
,Hrvatska nogometna liga  Croatia,2,52,0,0,4,,https://sofifa.com/league/317,Croatia
,1. Division  Cyprus,1,28,0,0,7,,https://sofifa.com/league/318,Cyprus
,První liga  Czechia,3,77,0,0,13,,https://sofifa.com/league/319,Czechia
,Veikkausliiga  Finland,1,28,0,0,4,,https://sofifa.com/league/322,Finland
,Liga I  Romania,16,422,0,0,135,,https://sofifa.com/league/330,Romania
,Premier League  Ukraine,2,44,0,0,2,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,7,193,0,0,5,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,6,158,0,0,8,,https://sofifa.com/league/336,Colombia
,División Profesional  Paraguay,7,195,0,0,27,,https://sofifa.com/league/337,Paraguay
,Primera División  Uruguay,6,169,0,0,21,,https://sofifa.com/league/338,Uruguay
,Liga MX  Mexico,18,491,0,1,467,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,56,0,2,21,,https://sofifa.com/league/347,South Africa
,J1 League  Japan,20,579,0,0,576,,https://sofifa.com/league/349,Japan
,Pro League  Saudi Arabia,16,457,0,0,141,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,12,329,0,0,75,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,26,711,0,0,107,,https://sofifa.com/league/353,Argentina
,Super League  China PR,16,435,0,1,81,,https://sofifa.com/league/2012,China PR
,Pro League  United Arab Emirates,1,28,0,0,5,,https://sofifa.com/league/2013,United Arab Emirates
,División de Fútbol Profesional  Bolivia,7,171,0,0,7,,https://sofifa.com/league/2017,Bolivia
,Serie A  Ecuador,8,195,0,0,19,,https://sofifa.com/league/2018,Ecuador
,Primera Division  Venezuela,6,177,0,0,3,,https://sofifa.com/league/2019,Venezuela
,Liga 1  Peru,6,167,0,0,5,,https://sofifa.com/league/2020,Peru
,3. Liga  Germany,20,542,0,0,174,,https://sofifa.com/league/2076,Germany
,Super League  India,11,299,0,0,88,,https://sofifa.com/league/2149,India
