Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,304,0,0,80,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,424,0,0,120,,https://sofifa.com/league/4,Belgium
,Eredivisie  Netherlands,18,490,0,0,127,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,658,0,1,73,,https://sofifa.com/league/13,England
,Championship  England,24,714,0,0,94,,https://sofifa.com/league/14,England
,Ligue 1  France,20,607,0,0,82,,https://sofifa.com/league/16,France
,Ligue 2  France,20,545,0,0,154,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,523,0,1,42,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,498,0,0,123,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,612,0,1,83,,https://sofifa.com/league/31,Italy
,Serie B  Italy,22,601,0,1,172,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,21,569,0,1,15,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,373,0,0,67,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,360,0,0,107,,https://sofifa.com/league/50,Scotland
,Championship  Scotland,1,28,0,0,19,,https://sofifa.com/league/51,Scotland
,La Liga  Spain,20,625,0,0,78,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,605,0,0,178,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,404,0,0,49,,https://sofifa.com/league/56,Sweden
,League One  England,24,665,1,0,123,,https://sofifa.com/league/60,England
,League Two  England,24,661,1,0,193,,https://sofifa.com/league/61,England
,Super League  Greece,3,83,0,0,16,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,12,284,6,1,47,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,16,430,0,0,130,,https://sofifa.com/league/66,Poland
,Premier League  Russia,16,464,0,0,105,,https://sofifa.com/league/67,Russia
,Süper Lig  Türkiye,18,491,0,1,148,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,10,269,0,0,65,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,12,336,9,0,71,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,254,0,0,63,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,18,501,0,1,131,,https://sofifa.com/league/308,Portugal
,Premier League  Ukraine,1,28,0,0,4,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,18,500,0,0,167,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,18,482,10,1,36,,https://sofifa.com/league/336,Colombia
,Liga MX  Mexico,18,526,0,0,126,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,56,0,0,12,,https://sofifa.com/league/347,South Africa
,Pro League  Saudi Arabia,14,415,0,0,122,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,10,249,0,0,64,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,20,592,19,0,34,,https://sofifa.com/league/353,Argentina
