Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,274,8,4,87,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,18,419,14,6,152,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,22,545,15,6,189,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,440,18,13,111,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,500,22,69,19,,https://sofifa.com/league/13,England
,Championship  England,24,550,21,42,60,,https://sofifa.com/league/14,England
,Ligue 1  France,20,499,21,23,43,,https://sofifa.com/league/16,France
,Ligue 2  France,20,460,8,7,117,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,450,26,34,41,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,414,23,27,101,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,492,26,37,55,,https://sofifa.com/league/31,Italy
,Serie B  Italy,22,506,27,26,150,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,13,325,7,2,82,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,14,350,10,7,100,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,297,19,13,56,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,487,14,32,29,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,21,488,32,20,142,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,14,313,3,4,78,,https://sofifa.com/league/56,Sweden
,League One  England,24,552,13,16,107,,https://sofifa.com/league/60,England
,League Two  England,24,546,9,4,196,,https://sofifa.com/league/61,England
,Super League  Greece,3,75,0,2,25,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,12,276,1,0,112,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,17,391,4,3,137,,https://sofifa.com/league/66,Poland
,Süper Lig  Türkiye,18,412,26,14,143,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,10,229,7,3,61,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,14,322,1,0,54,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,11,251,7,4,93,,https://sofifa.com/league/189,Switzerland
,Challenge League  Switzerland,2,43,0,0,30,,https://sofifa.com/league/190,Switzerland
,Primeira Liga  Portugal,16,397,18,6,136,,https://sofifa.com/league/308,Portugal
,První liga  Czechia,16,368,9,1,117,,https://sofifa.com/league/319,Czechia
,Liga MX  Mexico,18,450,7,6,105,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,3,69,1,0,32,,https://sofifa.com/league/347,South Africa
,A-League Men  Australia,8,171,4,4,38,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,2,50,2,3,16,,https://sofifa.com/league/353,Argentina
,I liga  Poland,1,23,1,0,19,,https://sofifa.com/league/1039,Poland
,2011  Poland,1,23,0,0,23,,https://sofifa.com/league/2011,Poland
,Série B  Brazil,2,46,0,0,18,,https://sofifa.com/league/2025,Brazil
,10002  Poland,1,23,0,0,23,,https://sofifa.com/league/10002,Poland
