Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,14,355,0,1,86,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,431,0,1,96,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,15,300,0,0,0,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,504,0,3,143,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,658,0,5,84,,https://sofifa.com/league/13,England
,Championship  England,24,717,0,12,110,,https://sofifa.com/league/14,England
,Ligue 1  France,20,593,0,2,58,,https://sofifa.com/league/16,France
,Ligue 2  France,20,543,0,6,137,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,546,0,3,35,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,507,0,3,62,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,521,0,5,32,,https://sofifa.com/league/31,Italy
,Serie B  Italy,19,519,1,6,106,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,23,644,2,99,7,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,392,9,36,52,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,315,0,4,77,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,639,1,4,68,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,629,1,6,172,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,401,4,32,69,,https://sofifa.com/league/56,Sweden
,League One  England,24,652,1,16,96,,https://sofifa.com/league/60,England
,League Two  England,24,636,0,4,174,,https://sofifa.com/league/61,England
,Super League  Greece,4,109,0,1,22,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,10,230,0,26,49,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,16,426,0,4,131,,https://sofifa.com/league/66,Poland
,Premier League  Russia,3,83,0,0,15,,https://sofifa.com/league/67,Russia
,Süper Lig  Türkiye,18,475,0,4,131,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,12,315,0,6,53,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,12,335,0,8,49,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,258,0,0,54,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,18,483,0,3,153,,https://sofifa.com/league/308,Portugal
,Hrvatska nogometna liga  Croatia,1,28,0,0,1,,https://sofifa.com/league/317,Croatia
,První liga  Czechia,3,75,0,0,9,,https://sofifa.com/league/319,Czechia
,Veikkausliiga  Finland,1,26,0,0,3,,https://sofifa.com/league/322,Finland
,Premier League  Ukraine,2,56,0,0,8,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,16,400,1,9,50,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,20,550,0,5,107,,https://sofifa.com/league/336,Colombia
,Liga MX  Mexico,18,503,0,3,108,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,56,0,1,15,,https://sofifa.com/league/347,South Africa
,J1 League  Japan,18,503,1,42,50,,https://sofifa.com/league/349,Japan
,Pro League  Saudi Arabia,16,466,0,5,146,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,10,240,0,1,56,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,26,722,0,6,203,,https://sofifa.com/league/353,Argentina
,Super League  China PR,16,424,0,11,54,,https://sofifa.com/league/2012,China PR
,3. Liga  Germany,20,526,0,8,160,,https://sofifa.com/league/2076,Germany
